国家名字(英),国家名字(中),地区区域,感染人数,每十万人的感染人数,死亡人数,疫苗接种剂量,接种第一剂的人数,最后一剂接种人数
Eritrea,厄立特里亚,非洲,10189,287.304,103,0,0,0
Bonaire,博内尔岛,美洲,9864,47162.324,33,43070,17460,16189
Saint Vincent and the Grenadines,圣文森特和格林纳丁斯,美洲,9644,8692.987,124,73443,37532,31632
Guinea-Bissau,几内亚比绍,非洲,9614,488.516,177,920752,747057,547637
Niger,尼日尔,非洲,9515,39.307,315,7372208,6248483,5483001
Comoros,科摩罗,非洲,9109,1047.492,160,835021,438825,397080
Antigua and Barbuda,安提瓜和巴布达,美洲,9106,9298.573,146,136512,64290,62384
American Samoa,美属萨摩亚,西太平洋,8359,15143.939,34,114706,46206,42479
Liberia,利比里亚,非洲,7930,156.791,294,4460668,3903802,3730967
Sierra Leone,塞拉利昂,非洲,7766,97.355,125,9155936,5676123,4961886
Chad,乍得,非洲,7698,46.865,194,8971575,5067129,4939822
British Virgin Islands,英属维尔京群岛,美洲,7305,24159.143,64,41453,19466,18261
Cook Islands,库克群岛,西太平洋,7168,40810.749,2,40080,15112,14728
Turks and Caicos Islands,特克斯和凯科斯群岛,美洲,6662,17206.467,40,73907,32815,30710
Saint Kitts and Nevis,圣基茨和尼维斯,美洲,6607,12421.041,46,64297,33794,27000
Sao Tome and Principe,圣多美和普林西比,非洲,6601,3011.968,80,263863,140256,111986
Palau,帕劳,西太平洋,6247,34529.074,9,51032,18573,18278
Saint Barthélemy,圣巴特·莱米,美洲,5507,55710.673,5,,,
Nauru,瑙鲁,西太平洋,5393,49778.475,1,32157,13106,11346
Kiribati,基里巴斯,西太平洋,5085,4257.047,24,219980,100900,81474
Anguilla,安圭拉,美洲,3904,26023.197,12,24611,10854,10380
Wallis and Futuna,瓦利斯和富图纳群岛,西太平洋,3550,31566.779,8,17303,7150,6803
Saint Pierre and Miquelon,圣皮埃尔和密克隆群岛,美洲,3426,59119.931,2,,,
Tuvalu,图瓦卢,西太平洋,2943,24957.598,1,26783,9763,9505
"Saint Helena, Ascension and Tristan da Cunha",圣赫勒拿、阿森松和特里斯坦-达库尼亚,非洲,2166,35677.813,0,7892,4361,3531
Falkland Islands (Malvinas),福克兰群岛（马尔维纳斯群岛）,美洲,1923,55211.025,0,9390,3220,2976
Montserrat,蒙特塞拉特,美洲,1403,28065.613,8,4619,2104,1952
Sint Eustatius,圣尤斯特歇斯,美洲,1221,38897.738,6,4319,1791,1686
Niue,纽埃,西太平洋,889,54944.376,0,4923,1638,1635
Saba,萨巴,美洲,837,43300.569,2,4979,1687,1667
Other,其他,其他,764,,13,,,
Tokelau,托克劳,西太平洋,80,5925.926,0,6342,2203,2203
Holy See,教廷,欧洲,26,3213.844,0,,,
Pitcairn Islands,皮特凯恩群岛,西太平洋,4,8000,0,117,47,47
Democratic People's Republic of Korea,朝鲜民主主义人民共和国,东南亚,0,0,0,,,
Turkmenistan,土库曼斯坦,欧洲,0,0,0,16775970,4614869,4568901
